numClient,numFact,periodeFact,montantFact,nomAbo,solde,province
0001,000100000001,2023-09-30,27972.69,MULEMA,49111.99,Kinshasa
0001,000100000002,2023-10-30,52455.69,MULEMA,23143.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0002,000200000001,2023-09-30,52454.69,BELESI,43341.99,Kinshasa
0002,000200000002,2023-10-30,58492.69,BELESI,54634.99,Kinshasa
0002,000200000003,2023-11-30,52452.69,BELESI,90952.99,Kinshasa
0002,000200000004,2023-12-30,52455.69,BELESI,52435.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000003,2023-11-30,96594.69,MULEMA,56774.99,Kinshasa
0001,000100000004,2023-12-30,56733.69,MULEMA,34124.99,Kinshasa
